OUTPUT

Title,Link,Company,Location,Job_posted,Tags
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927939522?position=25&pageNum=0&refId=SNZ8OI9beFAwdSnXKwcfLg%3D%3D&trackingId=5XUkvV7qk4HAwtlNhHeKaw%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927940402?position=40&pageNum=0&refId=SNZ8OI9beFAwdSnXKwcfLg%3D%3D&trackingId=Pq56oa6goaUBIA0w9rQ3Fw%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"San Francisco, CA",1 week ago,
"Lead Product Manager, Credit",https://www.linkedin.com/jobs/view/lead-product-manager-credit-at-varo-bank-3927937623?position=42&pageNum=0&refId=SNZ8OI9beFAwdSnXKwcfLg%3D%3D&trackingId=f5VgQAzS%2BPKMPvudpyYi0g%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,United States,1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927944086?position=50&pageNum=0&refId=SNZ8OI9beFAwdSnXKwcfLg%3D%3D&trackingId=cy2LEF45%2Fg6a7krhM7XZ6Q%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
"Manager, Customer Success",https://www.linkedin.com/jobs/view/manager-customer-success-at-squarespace-3927959510?position=7&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=lFPqRf4gmJRX7mwmGbsXCA%3D%3D&trk=public_jobs_jserp-result_search-card,Squarespace,"New York, NY",3 weeks ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927940402?position=8&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=8zFUxtfW%2BrWyb2gjoWAaig%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"San Francisco, CA",1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927943165?position=9&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=txukc%2BtlJWiOYKdhU%2F4A%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,United States,1 week ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927939522?position=10&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=d2td29kQEaVTIh09Z8%2BBRg%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
"Lead Product Manager, Credit",https://www.linkedin.com/jobs/view/lead-product-manager-credit-at-varo-bank-3927937623?position=17&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=p0UkvUVG1Y5Jf%2BVROipLww%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,United States,1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927944086?position=19&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=jdsT50R7A3gkP14NmrNhew%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927943166?position=24&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=s9VSh1%2FNI7CBFq8%2BQfXWrQ%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"San Francisco, CA",1 week ago,
"Lead Product Manager, Credit",https://www.linkedin.com/jobs/view/lead-product-manager-credit-at-varo-bank-3927937624?position=36&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=vuYQuuNkn19gV808ZjB1yw%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
PPC Specialist,https://www.linkedin.com/jobs/view/ppc-specialist-at-1point21-interactive-3927941334?position=38&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=qZ2jTJOy7NHhSgz6sHRvGA%3D%3D&trk=public_jobs_jserp-result_search-card,1Point21 Interactive,"San Diego, CA",3 weeks ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927944082?position=43&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=m0Q4EQzNcONaZNVdWQZV6A%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Salt Lake City, UT",1 week ago,
"Lead Product Manager, Credit",https://www.linkedin.com/jobs/view/lead-product-manager-credit-at-varo-bank-3927939523?position=60&pageNum=0&refId=u%2B%2BwW%2FyePmPXE863Dd67EA%3D%3D&trackingId=b5ceC8Bvehw4k983QYoTNw%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Salt Lake City, UT",1 week ago,
